Things my dog Maia ate in the last 2 weeks,My expression ,Quant Severity level,Qual severity level,Outcome
rat1,Maia!!! ,10,High,Rabbies shot
rat2,Again? ,10,High ,Rabbies shot
oppossum ,Now what?! ,10,High ,Rabbies shot
living room plant,It was 15$!  ,4,Low ,Both alive
sidewalk mask ,EEEW! ,5,Medium ,potential covid risk
her bed,*deep sigh* ,3,Low  ,Rug can replace bed
onion ,Ew,6,Medium ,mild puppy farts
garlic ,Ew times 3,7,Medium ,more severe puppy farts
Tangerine peel ,*Opens her mouth* ,1,Low,no allergic reactions
My socks ,DROP IT! ,2,Low,open toe socks
